epoch,train_loss,val_loss,best_val,lr,delta_monitor_r,delta_monitor_hard_r,delta_monitor_sign_accuracy,delta_monitor_amplitude_ratio,delta_monitor_pattern_score,base_loss,gradient_loss_weight,multiscale_loss_weight,multiscale_scales,smoothness_loss_weight,variance_loss_weight,residual_weight_alpha,residual_weight_scale,residual_weight_max,target_gradient_weight_alpha,target_gradient_weight_scale,target_gradient_weight_max,low_layer_weight_alpha,normalized_loss_weight,normalized_min_std,correlation_loss_weight,pattern_height_decay,low_frequency_loss_weight,low_frequency_pool,low_frequency_correlation_weight,high_frequency_loss_weight,local_correlation_loss_weight,local_correlation_pool,amplitude_loss_weight,active_delta_loss_weight,active_delta_threshold,sign_loss_weight,sign_loss_min_abs,sign_loss_scale,active_loss_weight,active_loss_threshold,active_loss_pos_weight,sign_class_loss_weight,sign_class_loss_min_abs,sign_class_loss_pos_weight,improved,epochs_without_improvement
35,5.4387371819,4.1319340291,4.1096554475,7.5e-06,0.4455723276,0.4597582882,0.8277522433,0.6949720822,0.6071145566,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,1
36,5.4053039291,4.1339335870,4.1096554475,7.5e-06,0.4460208938,0.4595713546,0.8291776363,0.7209732498,0.6090492197,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,2
37,5.5417246332,4.1427835738,4.1096554475,7.5e-06,0.4465475148,0.4600394550,0.8288799959,0.7151436948,0.6090518649,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,3
38,5.2544717073,4.0782457076,4.0782457076,7.5e-06,0.4441745767,0.4580781926,0.8294426631,0.6997285690,0.6061135863,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,1,0
39,5.0285891186,4.1069430893,4.0782457076,7.5e-06,0.4427397764,0.4566367096,0.8281142287,0.7045287344,0.6047482473,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,1
40,5.3447463172,4.0862760725,4.0782457076,7.5e-06,0.4456926031,0.4598574350,0.8303068922,0.6838134374,0.6069153059,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,2
41,4.9984821737,4.1263698896,4.0782457076,7.5e-06,0.4454738854,0.4595650543,0.8264714549,0.7120772903,0.6078809043,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,3
42,5.4621588975,4.1058778614,4.0782457076,7.5e-06,0.4444785416,0.4579702234,0.8274556813,0.6809890398,0.6042509063,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,4
43,5.2944981238,4.1082431525,4.0782457076,7.5e-06,0.4455760508,0.4597213532,0.8295382165,0.6942277816,0.6073812387,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,5
44,4.9960382319,4.0868510758,4.0782457076,7.5e-06,0.4460775368,0.4602617226,0.8302182667,0.7162365125,0.6096181339,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,6
45,5.1115614308,4.0999530519,4.0782457076,7.5e-06,0.4452296934,0.4591342793,0.8304598299,0.6957854115,0.6070905462,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,7
46,5.5413758567,4.0945710568,4.0782457076,3.75e-06,0.4445887233,0.4581950973,0.8306443356,0.7285301631,0.6084876520,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,8
47,5.2728791158,4.0818368832,4.0782457076,3.75e-06,0.4455502269,0.4593405636,0.8321581580,0.7119396980,0.6087840920,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,9
48,5.5805575039,4.1036744658,4.0782457076,3.75e-06,0.4474118950,0.4618598983,0.8310275950,0.7208567093,0.6116996723,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,10
49,5.3908791806,4.0878402099,4.0782457076,3.75e-06,0.4451262152,0.4596000818,0.8317492129,0.7092974687,0.6087759104,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,11
50,5.0194112264,4.0878302269,4.0782457076,3.75e-06,0.4468219788,0.4608395604,0.8314098414,0.7244160003,0.6110020554,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,12
51,5.5606938286,4.1105472869,4.0782457076,3.75e-06,0.4445626410,0.4581865196,0.8308831211,0.7238953185,0.6082077195,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,13
52,5.5211582846,4.1214005363,4.0782457076,3.75e-06,0.4442236715,0.4578582944,0.8301623856,0.7266939531,0.6079282784,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,14
53,5.4527488356,4.0763372208,4.0763372208,3.75e-06,0.4467745920,0.4613445869,0.8298453665,0.7114247220,0.6102893768,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,1,0
54,5.3538000137,4.0829548885,4.0763372208,3.75e-06,0.4465648980,0.4605680184,0.8296637693,0.7121924482,0.6095304166,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,1
55,5.5343482423,4.0741093415,4.0741093415,3.75e-06,0.4460560455,0.4600877427,0.8298814115,0.6868707392,0.6072835671,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,1,0
56,5.0049303441,4.0975552020,4.0741093415,3.75e-06,0.4449400618,0.4583894227,0.8310843258,0.6836350205,0.6055897329,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,1
57,5.5164747204,4.0997901727,4.0741093415,3.75e-06,0.4483432263,0.4620294225,0.8307396603,0.7193913315,0.6117098647,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,2
58,5.3208334819,4.1055411575,4.0741093415,3.75e-06,0.4476057553,0.4608472186,0.8301846073,0.7261087165,0.6108813636,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,3
59,5.4867514741,4.0841260864,4.0741093415,3.75e-06,0.4469633634,0.4602478411,0.8306754460,0.7164468512,0.6097103696,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,4
60,5.5786499624,4.1090526381,4.0741093415,3.75e-06,0.4460591784,0.4595670366,0.8296938340,0.7236697782,0.6093347985,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,5
61,5.0684022137,4.0913147784,4.0741093415,3.75e-06,0.4476588310,0.4613102288,0.8305445666,0.7214943523,0.6110976057,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,6
62,5.1540583150,4.0904733860,4.0741093415,3.75e-06,0.4453658416,0.4585742084,0.8311261549,0.7106315633,0.6077193805,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,7
63,5.2273128485,4.0778359119,4.0741093415,1.875e-06,0.4469117112,0.4608610517,0.8319924755,0.7050179826,0.6097829483,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,8
64,4.7652303332,4.0741325638,4.0741093415,1.875e-06,0.4470648393,0.4608588467,0.8314096780,0.7218921079,0.6108468030,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,9
65,4.7415853291,4.0722245835,4.0722245835,1.875e-06,0.4464787668,0.4603398211,0.8314752975,0.6896568143,0.6080568218,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,1,0
66,5.0646988245,4.0789787751,4.0722245835,1.875e-06,0.4464918753,0.4601111481,0.8307202816,0.7066044552,0.6088909925,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,1
67,5.6251429627,4.0781501536,4.0722245835,1.875e-06,0.4473776694,0.4606527396,0.8307235822,0.7180669507,0.6102378327,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,2
68,5.3433723499,4.0816323557,4.0722245835,1.875e-06,0.4473700301,0.4605278810,0.8310939334,0.7015865917,0.6090261203,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,3
69,5.5208596578,4.0715972777,4.0715972777,1.875e-06,0.4467152195,0.4603526635,0.8312639296,0.6946692577,0.6083894777,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,1,0
70,5.4578000641,4.0820563736,4.0715972777,1.875e-06,0.4477327150,0.4612193223,0.8308601478,0.7033221344,0.6097943387,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,1
